movie_name,soundtrack_name,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Goodfellas,I Will Follow Him ,0.638,0.44,0.0348,0.722,0.0,0.515,0.904,125.495
Goodfellas,Then He Kissed Me ,0.63,0.539,0.0278,0.234,5.81e-05,0.102,0.643,137.496
Goodfellas,Look in My Eyes ,0.547,0.528,0.281,0.0109,0.0,0.167,0.338,81.819
Goodfellas,Roses are Red ,0.359,0.0932,0.0297,0.878,1.01e-06,0.101,0.487,99.747
Goodfellas,Life is But a Dream ,0.338,0.295,0.0287,0.932,0.0,0.149,0.413,61.865
Goodfellas,Leader of the Pack ,0.417,0.546,0.0858,0.725,0.0,0.543,0.31,126.224
Goodfellas,"Toot, Toot, Tootsie (Goo' Bye!) ",0.51,0.344,0.0464,0.515,0.912,0.415,0.529,152.756
Goodfellas,Happy Birthday to You ,0.568,0.221,0.0576,0.86,7.32e-05,0.0958,0.337,91.923
Goodfellas,Ain't That a Kick in the Head ,0.586,0.253,0.0538,0.604,0.0,0.3,0.718,108.168
Goodfellas,He's Sure the Boy I Love ,0.758,0.708,0.322,0.0379,0.0,0.0579,0.75,160.131
Goodfellas,Atlantis ,0.693,0.711,0.193,0.0106,0.0,0.241,0.191,80.57
Goodfellas,Pretend You Don't See Her ,0.287,0.393,0.0322,0.801,1.79e-05,0.233,0.426,123.693
Goodfellas,Remember (Walkin' in the Sand) ,0.273,0.387,0.0298,0.7,5.99e-06,0.147,0.283,64.497
Goodfellas,Baby I Love You ,0.547,0.528,0.281,0.0109,0.0,0.167,0.338,81.819
Goodfellas,Beyond the Sea ,0.521,0.516,0.0369,0.723,0.0,0.257,0.569,136.483
Goodfellas,The Boulevard of Broken Dreams ,0.598,0.567,0.0482,0.791,0.0,0.149,0.681,108.77
Goodfellas,Gimme Shelter ,0.631,0.632,0.031,0.484,0.0316,0.121,0.492,118.649
Goodfellas,Wives and Lovers ,0.418,0.542,0.0374,0.173,0.000113,0.151,0.697,131.156
Goodfellas,Monkey Man ,0.738,0.563,0.11,0.113,0.0,0.191,0.876,134.132
Goodfellas,Frosty the Snow Man ,0.572,0.374,0.35,0.83,0.0,0.0625,0.943,178.349
Goodfellas,Christmas (Baby Please Come Home) ,0.561,0.782,0.0317,0.022,0.0,0.109,0.704,127.148
Goodfellas,Bells of St. Mary's ,0.0904,0.263,0.036,0.763,1.69e-06,0.0731,0.256,74.424
Goodfellas,Unchained Melody ,0.214,0.266,0.0359,0.846,0.00171,0.795,0.16,82.096
Goodfellas,Danny Boy ,0.258,0.22,0.0297,0.953,0.000179,0.296,0.197,87.487
Goodfellas,Sunshine of Your Love ,0.755,0.678,0.0277,0.146,0.104,0.264,0.95,112.007
Goodfellas,Layla ,0.538,0.846,0.0302,0.234,0.0206,0.0729,0.724,117.041
Goodfellas,Jump into the Fire ,0.477,0.604,0.0612,0.0012,0.734,0.159,0.874,155.541
Goodfellas,Memo from Turner ,0.195,0.35,0.0415,0.916,0.54,0.157,0.0408,111.063
Goodfellas,Magic Bus ,0.668,0.566,0.0321,0.00799,2.33e-05,0.0997,0.895,91.896
Goodfellas,What Is Life ,0.691,0.333,0.407,0.357,0.0,0.113,0.251,145.285
Goodfellas,Mannish Boy ,0.693,0.711,0.193,0.0106,0.0,0.241,0.191,80.57
Goodfellas,My Way ,0.607,0.0946,0.0346,0.977,0.0951,0.0704,0.305,119.974
One Flew Over the Cuckoo's Nest,Charmaine ,0.198,0.178,0.0338,0.973,0.775,0.274,0.0891,84.905
One Flew Over the Cuckoo's Nest,The Star Spangled Banner ,0.509,0.238,0.0318,0.642,0.618,0.0855,0.305,124.335
One Flew Over the Cuckoo's Nest,I'm Popeye the Sailor Man ,0.787,0.581,0.0372,0.612,0.0,0.116,0.981,110.473
One Flew Over the Cuckoo's Nest,"Row, Row, Row Your Boat ",0.483,0.154,0.0265,0.592,0.00625,0.0706,0.238,91.743
One Flew Over the Cuckoo's Nest,Jingle Bells ,0.483,0.154,0.0265,0.592,0.00625,0.0706,0.238,91.743
One Flew Over the Cuckoo's Nest,White Christmas ,0.483,0.154,0.0265,0.592,0.00625,0.0706,0.238,91.743
Se7en,Closer (Precursor) ,0.534,0.555,0.0939,0.0216,0.185,0.104,0.346,180.068
Se7en,El Michoacano ,0.802,0.771,0.0683,0.239,0.0,0.0569,0.96,123.233
Se7en,"Suite No. 3 in D Major, BWV 1068 Air ",0.176,0.191,0.0382,0.646,0.776,0.104,0.0782,112.281
