,name,year,song_name,written_by,performed_by,composed_by,lyrics_by,written_performed_by,music_by,courtesy_of,conducted_by,libretto_by,under_license_from
115,Forrest Gump,1994,Mrs. Robinson ,NA,Simon & Garfunkel ,NA,NA,NA,NA,Columbia Records ,NA,NA,NA
116,Forrest Gump,1994,Volunteers ,NA,Jefferson Airplane ,NA,NA,NA,NA,The RCA Records Label of BMG Music,NA,NA,NA
117,Forrest Gump,1994,"Hey, Joe ",NA,The Jimi Hendrix Experience ,NA,NA,NA,NA,Elber B.V.,NA,NA,NA
118,Forrest Gump,1994,Where Have All the Flowers Gone? ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,Forrest Gump,1994,Let's Get Together ,NA,The Youngbloods ,NA,NA,NA,NA,The RCA Records Label of BMG Music,NA,NA,NA
120,Forrest Gump,1994,San Francisco (Be Sure to Wear Flowers in Your Hair) ,NA,Scott McKenzie ,NA,NA,NA,NA,Epic Records ,NA,NA,NA
121,Forrest Gump,1994,"Turn, Turn, Turn! (To Everything There is a Season) ",NA,The Byrds ,NA,NA,NA,NA,Columbia Records ,NA,NA,NA
122,Forrest Gump,1994,Aquarius ,NA,The 5th Dimension (as The Fifth Dimension) ,NA,James Rado and Gerome Ragni ,NA,Galt MacDermot (as Gault McDermott) ,"Arista Records, Inc.",NA,NA,NA
123,Forrest Gump,1994,Joy to the World ,NA,Three Dog Night ,NA,NA,NA,NA,MCA Records,NA,NA,NA
124,Forrest Gump,1994,Everybody's Talkin' ,NA,Harry Nilsson ,NA,NA,NA,NA,The RCA Records Label of BMG Music,NA,NA,NA
125,Forrest Gump,1994,Silent Night ,NA,NA,NA,NA,NA,Franz Xaver Gruber (uncredited) ,NA,NA,NA,NA
126,Forrest Gump,1994,Stoned Love ,NA,The Supremes ,NA,NA,NA,NA,Motown Record Company L.P. ,NA,NA,NA
127,Forrest Gump,1994,Thanks for the Memory ,NA,NA,NA,Leo Robin,NA,Ralph Rainger ,NA,NA,NA,NA
