song_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,cluster_id
191.0,0.234,0.63,0.539,5.81e-05,0.102,0.0278,0.643,260.0
192.0,0.0109,0.547,0.528,0.0,0.167,0.281,0.338,362.0
193.0,0.878,0.359,0.0932,1.01e-06,0.101,0.0297,0.487,85.0
194.0,0.932,0.338,0.295,0.0,0.149,0.0287,0.413,39.0
195.0,0.725,0.417,0.546,0.0,0.543,0.0858,0.31,344.0
196.0,0.515,0.51,0.344,0.912,0.415,0.0464,0.529,111.0
197.0,0.86,0.568,0.221,7.32e-05,0.0958,0.0576,0.337,3.0
198.0,0.604,0.586,0.253,0.0,0.3,0.0538,0.718,392.0
199.0,0.0379,0.758,0.708,0.0,0.0579,0.322,0.75,398.0
200.0,0.0106,0.693,0.711,0.0,0.241,0.193,0.191,266.0
201.0,0.801,0.287,0.393,1.79e-05,0.233,0.0322,0.426,419.0
202.0,0.7,0.273,0.387,5.99e-06,0.147,0.0298,0.283,67.0
203.0,0.0109,0.547,0.528,0.0,0.167,0.281,0.338,362.0
204.0,0.723,0.521,0.516,0.0,0.257,0.0369,0.569,449.0
205.0,0.791,0.598,0.567,0.0,0.149,0.0482,0.681,99.0
206.0,0.484,0.631,0.632,0.0316,0.121,0.031,0.492,355.0
207.0,0.173,0.418,0.542,0.000113,0.151,0.0374,0.697,321.0
208.0,0.113,0.738,0.563,0.0,0.191,0.11,0.876,208.0
209.0,0.83,0.572,0.374,0.0,0.0625,0.35,0.943,317.0
210.0,0.022,0.561,0.782,0.0,0.109,0.0317,0.704,276.0
211.0,0.763,0.0904,0.263,1.69e-06,0.0731,0.036,0.256,147.0
212.0,0.846,0.214,0.266,0.00171,0.795,0.0359,0.16,218.0
213.0,0.953,0.258,0.22,0.000179,0.296,0.0297,0.197,159.0
214.0,0.146,0.755,0.678,0.104,0.264,0.0277,0.95,12.0
215.0,0.234,0.538,0.846,0.0206,0.0729,0.0302,0.724,409.0
216.0,0.0012,0.477,0.604,0.734,0.159,0.0612,0.874,179.0
217.0,0.916,0.195,0.35,0.54,0.157,0.0415,0.0408,187.0
218.0,0.00799,0.668,0.566,2.33e-05,0.0997,0.0321,0.895,208.0
219.0,0.357,0.691,0.333,0.0,0.113,0.407,0.251,144.0
220.0,0.0106,0.693,0.711,0.0,0.241,0.193,0.191,266.0
221.0,0.977,0.607,0.0946,0.0951,0.0704,0.0346,0.305,470.0
222.0,0.973,0.198,0.178,0.775,0.274,0.0338,0.0891,34.0
223.0,0.642,0.509,0.238,0.618,0.0855,0.0318,0.305,447.0
224.0,0.612,0.787,0.581,0.0,0.116,0.0372,0.981,400.0
225.0,0.592,0.483,0.154,0.00625,0.0706,0.0265,0.238,148.0
226.0,0.592,0.483,0.154,0.00625,0.0706,0.0265,0.238,148.0
227.0,0.592,0.483,0.154,0.00625,0.0706,0.0265,0.238,148.0
228.0,0.0216,0.534,0.555,0.185,0.104,0.0939,0.346,161.0
229.0,0.239,0.802,0.771,0.0,0.0569,0.0683,0.96,122.0
230.0,0.646,0.176,0.191,0.776,0.104,0.0382,0.0782,26.0
231.0,0.767,0.686,0.352,0.0185,0.0992,0.0323,0.502,94.0
232.0,0.749,0.558,0.221,0.771,0.828,0.0718,0.508,406.0
233.0,0.728,0.615,0.263,0.0144,0.117,0.0446,0.524,235.0
234.0,0.953,0.393,0.288,0.408,0.207,0.0658,0.379,100.0
235.0,0.96,0.73,0.212,0.0,0.11,0.453,0.742,141.0
236.0,0.295,0.389,0.868,0.0321,0.061,0.0912,0.165,286.0
237.0,0.254,0.439,0.747,0.0,0.202,0.427,0.489,114.0
238.0,0.571,0.143,0.372,0.889,0.0994,0.0367,0.0581,254.0
239.0,0.811,0.437,0.332,0.000142,0.361,0.0341,0.173,496.0
240.0,0.031,0.743,0.747,0.0,0.2,0.0374,0.691,1.0
241.0,0.00146,0.565,0.798,0.0201,0.33,0.087,0.433,105.0
242.0,0.99,0.339,0.209,0.928,0.121,0.0386,0.113,5.0
243.0,0.842,0.568,0.256,0.0,0.0924,0.0414,0.423,235.0
244.0,0.79,0.437,0.225,0.000117,0.106,0.0444,0.304,375.0
245.0,0.935,0.312,0.073,0.909,0.0995,0.049,0.151,46.0
246.0,0.546,0.847,0.498,0.709,0.0754,0.0327,0.621,458.0
247.0,0.969,0.234,0.174,1.05e-05,0.0992,0.0334,0.216,444.0
248.0,0.00119,0.377,0.702,0.479,0.419,0.032,0.239,493.0
249.0,0.79,0.437,0.225,0.000117,0.106,0.0444,0.304,375.0
250.0,0.4,0.766,0.384,0.00687,0.195,0.0393,0.547,119.0
251.0,0.98,0.536,0.0659,0.936,0.177,0.0433,0.0415,206.0
252.0,0.705,0.72,0.521,0.36,0.214,0.0302,0.823,238.0
253.0,0.979,0.371,0.287,0.869,0.261,0.067,0.294,262.0
254.0,0.234,0.547,0.955,0.948,0.0825,0.0532,0.896,145.0
255.0,0.956,0.533,0.308,0.0,0.72,0.0288,0.431,180.0
256.0,0.705,0.72,0.521,0.36,0.214,0.0302,0.823,238.0
257.0,0.832,0.581,0.362,0.84,0.0608,0.0799,0.912,222.0
258.0,0.946,0.179,0.601,0.231,0.96,0.135,0.438,109.0
259.0,0.943,0.22,0.259,0.0448,0.182,0.0346,0.325,39.0
260.0,0.731,0.559,0.223,0.58,0.695,0.029,0.0907,176.0
261.0,0.138,0.674,0.895,3.04e-06,0.101,0.0521,0.35,418.0
262.0,0.223,0.556,0.532,0.0,0.0717,0.486,0.52,325.0
263.0,0.512,0.451,0.422,0.162,0.139,0.0433,0.119,421.0
264.0,0.223,0.556,0.532,0.0,0.0717,0.486,0.52,325.0
265.0,0.995,0.326,0.0244,0.912,0.106,0.0487,0.388,89.0
266.0,0.223,0.556,0.532,0.0,0.0717,0.486,0.52,325.0
267.0,0.857,0.429,0.253,0.704,0.37,0.0307,0.0726,194.0
268.0,0.165,0.188,0.357,0.0218,0.0943,0.0332,0.0331,44.0
269.0,0.00802,0.706,0.785,0.0319,0.195,0.041,0.636,1.0
270.0,0.223,0.556,0.532,0.0,0.0717,0.486,0.52,325.0
271.0,0.984,0.462,0.15,0.000902,0.105,0.0522,0.19,155.0
272.0,0.953,0.169,0.0629,0.911,0.0996,0.0411,0.0607,331.0
273.0,0.953,0.169,0.0629,0.911,0.0996,0.0411,0.0607,331.0
274.0,0.102,0.474,0.801,0.0,0.322,0.375,0.497,234.0
275.0,0.0863,0.508,0.34,0.000325,0.262,0.0384,0.396,489.0
276.0,0.102,0.474,0.801,0.0,0.322,0.375,0.497,234.0
277.0,0.145,0.801,0.476,3.5e-05,0.206,0.184,0.837,52.0
278.0,0.0526,0.715,0.715,0.0,0.0936,0.0904,0.506,430.0
279.0,0.256,0.669,0.675,0.0,0.0762,0.386,0.787,140.0
280.0,0.654,0.237,0.243,0.538,0.103,0.0425,0.108,457.0
281.0,0.604,0.259,0.273,0.289,0.0978,0.0363,0.418,473.0
282.0,0.707,0.347,0.275,0.0,0.375,0.0279,0.372,361.0
283.0,0.434,0.295,0.563,0.000114,0.0716,0.0389,0.217,306.0
284.0,7.26e-05,0.567,0.86,0.0265,0.2,0.0466,0.549,51.0
285.0,0.434,0.295,0.563,0.000114,0.0716,0.0389,0.217,306.0
286.0,0.717,0.412,0.214,0.0,0.386,0.0266,0.402,361.0
287.0,0.568,0.645,0.639,4.34e-05,0.326,0.0342,0.72,388.0
288.0,0.766,0.692,0.492,0.857,0.107,0.0395,0.652,167.0
289.0,0.971,0.147,0.428,0.005,0.203,0.0462,0.0701,79.0
290.0,0.767,0.419,0.301,0.928,0.205,0.0328,0.252,281.0
291.0,0.706,0.663,0.264,0.0,0.1,0.0914,0.657,270.0
292.0,0.536,0.161,0.187,0.922,0.167,0.0402,0.0394,178.0
293.0,0.536,0.161,0.187,0.922,0.167,0.0402,0.0394,178.0
294.0,0.536,0.161,0.187,0.922,0.167,0.0402,0.0394,178.0
295.0,0.536,0.161,0.187,0.922,0.167,0.0402,0.0394,178.0
296.0,0.536,0.161,0.187,0.922,0.167,0.0402,0.0394,178.0
297.0,0.536,0.161,0.187,0.922,0.167,0.0402,0.0394,178.0
298.0,0.536,0.161,0.187,0.922,0.167,0.0402,0.0394,178.0
299.0,0.255,0.699,0.419,0.0239,0.0471,0.134,0.822,246.0
300.0,0.939,0.0,0.0537,0.331,0.0475,0.0,0.0,249.0
301.0,6.87e-05,0.53,0.815,0.614,0.036,0.0358,0.517,103.0
302.0,0.0157,0.59,0.622,0.000399,0.141,0.0576,0.461,29.0
303.0,0.414,0.553,0.632,1.92e-06,0.119,0.0419,0.794,18.0
304.0,0.48,0.837,0.389,4.96e-06,0.162,0.0366,0.676,341.0
305.0,0.0293,0.755,0.537,0.0326,0.0663,0.0377,0.85,208.0
306.0,0.401,0.322,0.328,0.0871,0.31,0.034,0.0932,256.0
307.0,0.401,0.322,0.328,0.0871,0.31,0.034,0.0932,256.0
308.0,0.789,0.736,0.602,6.18e-06,0.577,0.0485,0.46,403.0
309.0,0.756,0.701,0.493,1.13e-05,0.0744,0.0637,0.961,90.0
310.0,0.812,0.552,0.333,0.0,0.479,0.044,0.629,380.0
311.0,0.63,0.563,0.46,8.54e-05,0.482,0.0437,0.934,163.0
312.0,0.213,0.796,0.331,0.263,0.254,0.0538,0.806,351.0
313.0,0.63,0.563,0.46,8.54e-05,0.482,0.0437,0.934,163.0
314.0,0.706,0.569,0.162,0.0,0.205,0.0297,0.635,392.0
315.0,0.63,0.563,0.46,8.54e-05,0.482,0.0437,0.934,163.0
316.0,0.995,0.283,0.0959,0.955,0.0697,0.0439,0.355,89.0
317.0,0.993,0.436,0.0438,0.0,0.0842,0.0527,0.688,494.0
318.0,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5.0
319.0,0.993,0.436,0.0438,0.0,0.0842,0.0527,0.688,494.0
320.0,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5.0
321.0,0.991,0.389,0.206,0.928,0.212,0.056,0.127,339.0
322.0,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5.0
323.0,0.909,0.307,0.157,0.349,0.0634,0.0331,0.036,308.0
324.0,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5.0
325.0,0.993,0.436,0.0438,0.0,0.0842,0.0527,0.688,494.0
326.0,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5.0
327.0,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5.0
328.0,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5.0
329.0,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5.0
330.0,0.78,0.521,0.319,0.031,0.128,0.481,0.309,171.0
331.0,0.991,0.389,0.206,0.928,0.212,0.056,0.127,339.0
332.0,0.974,0.345,0.0755,0.554,0.0983,0.0385,0.336,100.0
333.0,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5.0
334.0,0.986,0.37,0.217,0.887,0.0786,0.0412,0.418,294.0
335.0,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5.0
