song_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,cluster_id,movie,name
2923,0.132,0.599,0.727,4.48E-06,0.364,0.0373,0.616,386,Samurai Champloo,Fly (Small Circle Of Friends) 
2926,0.132,0.599,0.727,4.48E-06,0.364,0.0373,0.616,386,Samurai Champloo,Pekambe Uk 
2927,0.132,0.599,0.727,4.48E-06,0.364,0.0373,0.616,386,Samurai Champloo,Hiji Zuru STYLE 
2986,0.132,0.655,0.682,2.55E-05,0.314,0.0593,0.601,386,Wentworth,It looks like we don't have any Soundtracks for this title yet.
2990,0.00281,0.609,0.751,0.0548,0.419,0.0409,0.561,386,Erased,Re:Re: 
582,0.835,0.767,0.262,0.612,0.103,0.0526,0.312,387,WALL·E,"Don't Worry, Be Happy "
1780,0.875,0.655,0.445,0.634,0.115,0.0274,0.14,387,Warrior,Start a War 
2392,0.873,0.703,0.181,0.72,0.105,0.0323,0.321,387,Rebecca,Love's Old Sweet Song (Just a Song at Twilight) 
287,0.568,0.645,0.639,4.34E-05,0.326,0.0342,0.72,388,City of God,So Very Hard to Go 
373,0.567,0.604,0.623,0.0186,0.192,0.0542,0.749,388,American History X,The White Man Marches On 
416,0.458,0.633,0.526,3.73E-05,0.214,0.0267,0.666,388,Casablanca,Tango Delle Rose 
422,0.458,0.633,0.526,3.73E-05,0.214,0.0267,0.666,388,Casablanca,You Must Have Been a Beautiful Baby 
780,0.597,0.62,0.496,1.36E-05,0.322,0.133,0.636,388,Coco,Un Poco Loco 
879,0.53,0.5,0.515,0,0.26,0.0298,0.654,388,Good Will Hunting,Afternoon Delight 
2967,0.278,0.451,0.323,0,0.58,0.417,0.303,389,Hannibal,"Nocturne for piano in C sharp minor (doubtful), KK Anh.Ia/6 "
885,0.736,0.511,0.32,0.509,0.267,0.0454,0.893,390,Requiem for a Dream,Bialy & Lox Conga 
692,0.173,0.477,0.546,0.219,0.0985,0.0874,0.782,391,Joker,Charlie Meets Burglars 
1686,0.196,0.555,0.607,0.2,0.188,0.0344,0.911,391,Gone with the Wind,Ring de Banjo 
1754,0.00171,0.48,0.629,0.254,0.0389,0.0292,0.649,391,Trainspotting,Atomic 
198,0.604,0.586,0.253,0,0.3,0.0538,0.718,392,Goodfellas,Ain't That a Kick in the Head 
314,0.706,0.569,0.162,0,0.205,0.0297,0.635,392,Back to the Future,EARTH ANGEL (WILL YOU BE MINE) 
1100,0.646,0.5,0.224,0,0.284,0.0935,0.62,392,L.A. Confidential,Mele Kalikimaka 
2955,0.479,0.598,0.31,0.0367,0.369,0.0522,0.501,392,North & South,Northbound Train 
1028,0.858,0.737,0.077,0.00772,0.111,0.0909,0.145,393,A Clockwork Orange,Molly Malone 
1299,0.986,0.803,0.143,0.000389,0.116,0.0373,0.0781,393,The Father,"King Arthur, or The British Worthy (1691), Act 3: What Power Art Thou? "
521,0.909,0.274,0.389,0.93,0.0811,0.0372,0.0753,394,Apocalypse Now,Excerpts from 'Mnong Gar Music from Vietnam' 
794,0.919,0.347,0.459,0.942,0.101,0.0366,0.112,394,Inglourious Basterds,The Verdict 
824,0.785,0.255,0.375,0.938,0.0854,0.0357,0.112,394,The Boat,Sing Nachtigall Sing 
871,0.836,0.212,0.314,0.945,0.105,0.03,0.155,394,Good Will Hunting,Handle on My Heart 
980,0.83,0.243,0.396,0.961,0.0672,0.0326,0.102,394,Lawrence of Arabia,Overture 
2197,0.789,0.193,0.435,0.925,0.112,0.0588,0.0993,394,The Terminator,Terminator Arrival 
2420,0.848,0.213,0.364,0.984,0.0762,0.0353,0.0905,394,Amores perros,Atacama 
2973,0.775,0.285,0.43,0.959,0.0763,0.0359,0.236,394,The Expanse,It looks like we don't have any Soundtracks for this title yet.
109,0.544,0.681,0.206,0,0.088,0.031,0.49,395,Forrest Gump,What the World Needs Now is Love 
808,0.549,0.791,0.513,5.95E-06,0.0563,0.0555,0.501,395,Inglourious Basterds,The Man with the Big Sombrero 
998,0.501,0.606,0.282,8.30E-06,0.152,0.0339,0.563,395,The Hunt,Moondance 
1041,0.562,0.718,0.323,1.10E-06,0.0827,0.0601,0.463,395,Full Metal Jacket,These Boots Are Made For Walkin' 
1182,0.566,0.678,0.448,5.91E-05,0.113,0.0239,0.437,395,Heat,By The Time I Get To Phoenix 
1518,0.514,0.636,0.35,0,0.122,0.0435,0.516,395,Monty Python and the Holy Grail,He's Going to Tell 
1901,0.539,0.774,0.419,0.0698,0.029,0.0758,0.644,395,12 Years a Slave,Money Musk 
2215,0.57,0.65,0.306,7.07E-06,0.0707,0.0393,0.605,395,Stand by Me,Stand By Me 
2355,0.56,0.803,0.459,0,0.0747,0.0689,0.51,395,Groundhog Day,Quartet No. 1 in D - The Ground Hog 
482,0.888,0.173,0.424,0.309,0.198,0.0324,0.0389,396,Once Upon a Time in the West,Finale 
774,0.995,0.221,0.41,0.362,0.252,0.0515,0.153,396,Amadeus,"Don Giovanni, K. 527: Act II, Commendatore Scene "
82,0.974,0.215,0.169,0.0585,0.0907,0.0402,0.0547,397,The Lord of the Rings: The Fellowship of the Ring,May It Be 
161,0.905,0.125,0.164,0.0283,0.0903,0.0361,0.0377,397,The Lord of the Rings: The Two Towers,Gollum's Song 
470,0.929,0.256,0.155,0.0428,0.098,0.0366,0.0705,397,Once Upon a Time in the West,C'era una volta il West 
532,0.896,0.163,0.258,0.148,0.108,0.0335,0.151,397,Cinema Paradiso,Toto and Alfredo 
737,0.989,0.218,0.11,0.0902,0.114,0.0502,0.0371,397,Amadeus,"Le Nozze di Figaro (The Marriage of Figaro), K. 492, Act IV, Ah Tutti Contenti "
974,0.942,0.156,0.324,0.0343,0.0812,0.0374,0.0387,397,Citizen Kane,Aria from Salammbo 
1300,0.977,0.21,0.167,0.000422,0.0961,0.04,0.0577,397,The Father,"Norma, Act 1: Casta Diva (Norma, Chorus) "
1301,0.982,0.235,0.194,0.03,0.0831,0.0416,0.103,397,The Father,Les Pêcheurs de Perles - Romance: Je crois entendre encore 
1975,0.993,0.134,0.169,0.00194,0.0652,0.0371,0.0667,397,Mr. Smith Goes to Washington,The Star-Spangled Banner 
2030,0.973,0.264,0.168,0.145,0.0985,0.045,0.0413,397,The Big Lebowski,Glück das mir verblieb 
2426,0.993,0.207,0.218,0.0463,0.11,0.0393,0.0593,397,The Sound of Music,Morning Hymn 
199,0.0379,0.758,0.708,0,0.0579,0.322,0.75,398,Goodfellas,He's Sure the Boy I Love 
1193,0.106,0.853,0.647,0.000558,0.0932,0.359,0.738,398,Snatch,Super Moves 
1210,0.106,0.853,0.647,0.000558,0.0932,0.359,0.738,398,Snatch,Kosha Nostra Theme 
1211,0.106,0.853,0.647,0.000558,0.0932,0.359,0.738,398,Snatch,Taverna 
2299,0.0688,0.805,0.597,1.78E-06,0.0627,0.349,0.665,398,Logan,Play To Win 
2459,0.0321,0.897,0.397,5.81E-06,0.103,0.355,0.838,398,La Haine,Burnin' and Lootin' 
2471,0.0724,0.943,0.629,9.67E-06,0.0697,0.291,0.646,398,La Haine,Hard Core 
1151,0.388,0.82,0.451,0,0.563,0.461,0.665,399,Hamilton,Blow Us All Away 
224,0.612,0.787,0.581,0,0.116,0.0372,0.981,400,One Flew Over the Cuckoo's Nest,I'm Popeye the Sailor Man 
822,0.713,0.805,0.701,0,0.0763,0.0477,0.929,400,The Boat,It's a Long Way to Tipperary 
1450,0.704,0.802,0.675,0,0.0631,0.0424,0.962,400,Casino,Boogaloo Down Broadway 
1991,0.713,0.805,0.701,0,0.0763,0.0477,0.929,400,Pather Panchali,It's A Long Way to Tipperary 
2096,0.771,0.755,0.599,0,0.0719,0.0775,0.95,400,Mary and Max,"Itsi Bitsi, Petit Bikini "
2230,0.709,0.714,0.726,0.000433,0.0574,0.121,0.976,400,Stand by Me,Yakety Yak 
2601,0.716,0.781,0.754,0,0.114,0.0593,0.81,400,Only Fools and Horses,It looks like we don't have any Soundtracks for this title yet.
1922,0.965,0.491,0.384,0.578,0.0933,0.0439,0.668,401,The Deer Hunter,Katyusha 
1939,0.826,0.47,0.459,0.563,0.0694,0.0367,0.564,401,Before Sunrise,Dido And Aeneas 
748,0.972,0.428,0.105,0.891,0.0632,0.0395,0.324,402,Amadeus,"Adagio and Rondo for Glass Harmonica, Flute, Oboe, Viola and Cello, K. 617 "
757,0.989,0.384,0.0953,0.889,0.0514,0.0389,0.253,402,Amadeus,Concerto No. 10 for Two Pianos and Orchestra in E-Flat Minor (K. 365) 3rd Movement 
763,0.975,0.475,0.036,0.717,0.214,0.041,0.229,402,Amadeus,"Six German Dances, K. 509: No. 1 in D Major "
769,0.993,0.473,0.0753,0.899,0.0787,0.0397,0.357,402,Amadeus,"Le Nozze di Figaro (The Marriage of Figaro), K. 492 /Act III: Finale: Amanti Costanti (Ecco la Marcia) "
845,0.989,0.427,0.0921,0.902,0.106,0.0834,0.271,402,Princess Mononoke,The Tatara Women Work Song (Tatara Fumu Onnatachi) 
870,0.929,0.537,0.0959,0.856,0.114,0.0586,0.36,402,Good Will Hunting,Between the Bars 
1307,0.984,0.553,0.0902,0.91,0.1,0.043,0.289,402,All About Eve,Poinciana 
1715,0.995,0.473,0.064,0.919,0.13,0.0591,0.222,402,Chinatown,Easy Living 
1716,0.995,0.409,0.0386,0.864,0.112,0.0558,0.231,402,Chinatown,The Way You Look Tonight 
1924,0.986,0.526,0.119,0.854,0.0982,0.043,0.313,402,The Deer Hunter,Memory Eternal (Vechnaya Pamyat) 
2043,0.952,0.481,0.0431,0.823,0.132,0.0687,0.3,402,The Big Lebowski,Pictures at an Exhibition 
2141,0.948,0.482,0.091,0.958,0.0692,0.0394,0.327,402,Dead Poets Society,'Water Music': Suite III in D 'Allegro' 
308,0.789,0.736,0.602,6.18E-06,0.577,0.0485,0.46,403,Back to the Future,MR. SANDMAN 
2093,0.662,0.636,0.412,5.96E-05,0.68,0.0558,0.589,403,"Monsters, Inc.",If I Didn't Have You 
2094,0.662,0.636,0.412,5.96E-05,0.68,0.0558,0.589,403,"Monsters, Inc.",Bintang Kecil 
2292,0.581,0.73,0.404,0,0.58,0.0983,0.602,403,Logan,Happy Birthday 
2479,0.426,0.561,0.325,0,0.742,0.122,0.693,403,Aladdin,One Jump Ahead (Reprise) 
420,0.807,0.123,0.39,0.916,0.196,0.0369,0.13,404,Casablanca,Perfidia 
1533,0.933,0.187,0.431,0.913,0.101,0.0346,0.087,404,Monty Python and the Holy Grail,Countrywide 
2190,0.868,0.156,0.429,0.87,0.107,0.0609,0.0676,404,The Terminator,You Can't Do That 
2191,0.868,0.156,0.429,0.87,0.107,0.0609,0.0676,404,The Terminator,Pictures of You 
2194,0.868,0.156,0.429,0.87,0.107,0.0609,0.0676,404,The Terminator,Burnin' in the Third Degree 
2195,0.868,0.156,0.429,0.87,0.107,0.0609,0.0676,404,The Terminator,Beat Street Breakdown 
2205,0.868,0.156,0.429,0.87,0.107,0.0609,0.0676,404,The Terminator,Sarah in the Bar 
2206,0.868,0.156,0.429,0.87,0.107,0.0609,0.0676,404,The Terminator,Tech Noir/Alley Chase 
2211,0.933,0.121,0.444,0.9,0.125,0.058,0.146,404,The Terminator,Death By Fire/Terminator Gets Up 
115,0.348,0.506,0.831,0,0.375,0.0342,0.796,405,Forrest Gump,Volunteers 
447,0.254,0.476,0.672,0.0104,0.192,0.0447,0.661,405,The Intouchables,You're Goin' Miss Your Candyman 
1024,0.212,0.455,0.84,4.45E-06,0.201,0.0935,0.486,405,Amélie,The Child 
1783,0.33,0.588,0.728,0,0.292,0.0433,0.506,405,Warrior,This Is Me 
2025,0.328,0.547,0.803,0.0014,0.242,0.0622,0.641,405,The Big Lebowski,The Man In Me 
2035,0.328,0.547,0.803,0.0014,0.242,0.0622,0.641,405,The Big Lebowski,Just Dropped In (To See What Condition My Condition Was In) 
2038,0.328,0.547,0.803,0.0014,0.242,0.0622,0.641,405,The Big Lebowski,Mucha Muchacha 
232,0.749,0.558,0.221,0.771,0.828,0.0718,0.508,406,Se7en,"Straight, No Chaser "
938,0.29,0.94,0.392,0.00152,0.206,0.107,0.358,407,Eternal Sunshine of the Spotless Mind,Everybody's Gotta Learn Sometime 
1057,0.202,0.871,0.532,0.00727,0.164,0.0562,0.437,407,Scarface,I'm Hot Tonight 
1635,0.032,0.835,0.568,0.0096,0.101,0.0364,0.411,407,Raging Bull,Vivere 
1884,0.0896,0.828,0.563,0.0261,0.0962,0.0951,0.402,407,Gone Girl,Law and Order Theme 
1887,0.0896,0.828,0.563,0.0261,0.0962,0.0951,0.402,407,Gone Girl,Left EY3 
1613,0.427,0.675,0.608,0.494,0.142,0.0666,0.404,408,Kill Bill: Vol. 1,White Lightning 
1895,0.344,0.693,0.628,0.44,0.101,0.0454,0.289,408,Gone Girl,Drastic Measures 
215,0.234,0.538,0.846,0.0206,0.0729,0.0302,0.724,409,Goodfellas,Layla 
1268,0.239,0.618,0.867,0,0.0559,0.139,0.665,409,Dangal,Dangal 
2409,0.128,0.645,0.858,7.17E-05,0.15,0.0418,0.638,409,Amores perros,Amores Perros 
2411,0.128,0.645,0.858,7.17E-05,0.15,0.0418,0.638,409,Amores perros,Pesada 
2413,0.128,0.645,0.858,7.17E-05,0.15,0.0418,0.638,409,Amores perros,Corazón 
2416,0.128,0.645,0.858,7.17E-05,0.15,0.0418,0.638,409,Amores perros,Mentiras 
2417,0.128,0.645,0.858,7.17E-05,0.15,0.0418,0.638,409,Amores perros,Coolo 
2577,0.168,0.673,0.776,0,0.0853,0.0311,0.583,409,Fullmetal Alchemist: Brotherhood,Tsunaida Te 
1008,0.807,0.734,0.339,0.186,0.0801,0.0325,0.952,410,Amélie,Les Jours Tristes (instrumental) 
2382,0.842,0.774,0.504,0.255,0.0462,0.0359,0.968,410,The Best Years of Our Lives,Beer Barrel Polka (Roll Out the Barrel) 
1087,0.873,0.615,0.386,0.778,0.0887,0.0904,0.365,411,The Sting,The Entertainer 
1093,0.873,0.615,0.386,0.778,0.0887,0.0904,0.365,411,The Sting,The Washington Post 
1739,0.749,0.549,0.279,0.84,0.0888,0.0369,0.328,411,The Secret in Their Eyes,Morales 
2538,0.746,0.631,0.426,0.784,0.0962,0.0563,0.455,411,Breaking Bad,Breaking Bad Main Title Theme 
1126,0.0691,0.887,0.516,0,0.617,0.658,0.828,412,Hamilton,Ten Duel Commandments 
1179,0.00106,0.4,0.682,0.925,0.15,0.185,0.0387,413,Heat,Armenia 
2061,0.114,0.333,0.649,0.859,0.0909,0.0704,0.0456,413,Mad Max: Fury Road,Escape (Extended Version) 
2125,0.119,0.303,0.612,0.895,0.15,0.0704,0.0794,413,Hotel Rwanda,Lobsters Pt 1 
2127,0.119,0.303,0.612,0.895,0.15,0.0704,0.0794,413,Hotel Rwanda,Lobsters Pt 2 
2245,0.002,0.23,0.751,0.814,0.0652,0.0804,0.0704,413,Rush,Nürburgring 
2721,0.193,0.337,0.756,0.862,0.137,0.0817,0.133,413,Deadwood,It looks like we don't have any Soundtracks for this title yet.
