song_name,artist,pos_percent,spotify_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
This Town,Niall Horan,0.715517241,0qvzXomUDJVaUboy2wMfiS,0.712,0.677,0.401,0,0.116,0.0308,0.195
Riptide,Vance Joy,0.686868687,7yq4Qj7cqayVTp3FF9CWbm,0.431,0.484,0.731,0,0.151,0.0379,0.51
Ophelia,The Lumineers,0.815151515,5NORWMFC27ywGSZxi8uquP,0.613,0.664,0.573,0.000363,0.0857,0.0277,0.566
Everybody Talks,Neon Trees,0.6375,2iUmqdfGZcHIhS3b9E9EWq,0.00301,0.471,0.924,0,0.313,0.0586,0.725
ily (i love you baby) (feat. Emilee),Surf Mesa,0.601895735,62aP9fBQKYKxi7PDXwcUAS,0.0686,0.674,0.774,0.00188,0.393,0.0892,0.33
Adore You,Harry Styles,0.711229947,3jjujdWJ72nww5eGnfs2E7,0.0237,0.676,0.771,7.00E-06,0.102,0.0483,0.569
Bloodshot,Dove Cameron,0.5625,1QAH5HMnoDt76yBNpLUsHo,0.0594,0.671,0.762,0,0.168,0.0511,0.535
notice me (feat. BENEE),ROLE MODEL,0.329411765,3WowsoNoWeMqTH2suWv9MW,0.136,0.72,0.481,0.0034,0.301,0.0432,0.253
Love Is Love,Grace Potter,0.783783784,3evHzU2xmG80c3jS4YT6ZI,0.334,0.562,0.579,0,0.175,0.0483,0.389
Speechless,Dan + Shay,0.480314961,3GJ4hzg4lrGwU51Y3VARbF,0.356,0.616,0.438,0,0.24,0.0298,0.386
Slow Dance (feat. Ava Max),AJ Mitchell,0.27826087,5FNS5Vj69AhRGJWjhrAd01,0.214,0.692,0.443,0,0.06,0.0386,0.363
Hey There Delilah,Plain White T's,0.770053476,4RCWB3V8V0dignt99LZ8vH,0.872,0.656,0.291,0,0.114,0.0293,0.298
Payphone,Maroon 5,0.423423423,1XGmzt0PVuFgQYYnV2It7A,0.0188,0.743,0.752,0,0.287,0.0414,0.545
All I Want,Olivia Rodrigo,0.821086262,1v6svH1Fyx9C1nIt1mA2DT,0.0902,0.376,0.43,0,0.0912,0.0328,0.129
Like I Can,Sam Smith,0.198347107,2TeLIzFBe3hxkPR5FIQZut,0.343,0.656,0.627,2.17E-05,0.124,0.0379,0.481
Grenade,Bruno Mars,0.533333333,4lLtanYk6tkMvooU0tWzG8,0.148,0.704,0.558,0,0.107,0.0542,0.245
Freaks,Surf Curse,0.537549407,7EkWXAI1wn8Ii883ecd9xr,3.84E-05,0.345,0.941,0.633,0.0511,0.0466,0.407
Havana (feat. Young Thug),Camila Cabello,0.4609375,1rfofaqEpACxVEHIZBJe6W,0.184,0.765,0.523,3.56E-05,0.132,0.03,0.394
